Local time,Open,High,Low,Close,Volume
30.01.2020 15:00:00.000 GMT-0500,325.892,327.913,325.752,327.683,22.6179
31.01.2020 09:00:00.000 GMT-0500,326.972,327.173,325.432,326.052,15.4471
31.01.2020 10:00:00.000 GMT-0500,326.053,326.053,323.772,323.973,27.7761
31.01.2020 11:00:00.000 GMT-0500,323.972,324.352,322.642,324.102,28.2086
31.01.2020 12:00:00.000 GMT-0500,324.092,324.103,322.112,322.702,24.4045
31.01.2020 13:00:00.000 GMT-0500,322.702,323.153,321.672,322.483,22.8246
31.01.2020 14:00:00.000 GMT-0500,322.482,323.243,322.192,322.493,21.0748
31.01.2020 15:00:00.000 GMT-0500,322.503,322.762,320.772,321.812,24.9463
03.02.2020 09:00:00.000 GMT-0500,323.373,325.242,323.232,325.172,13.1107
03.02.2020 10:00:00.000 GMT-0500,325.173,326.172,324.922,325.192,24.1624
03.02.2020 11:00:00.000 GMT-0500,325.192,325.533,323.722,324.272,21.5236
03.02.2020 12:00:00.000 GMT-0500,324.272,324.943,323.922,324.852,16.4029
03.02.2020 13:00:00.000 GMT-0500,324.862,324.933,324.062,324.622,16.7473
03.02.2020 14:00:00.000 GMT-0500,324.623,324.753,323.982,324.532,14.4082
03.02.2020 15:00:00.000 GMT-0500,324.532,325.013,323.912,324.172,16.5952
04.02.2020 09:00:00.000 GMT-0500,328.122,328.953,327.732,328.753,15.0102
04.02.2020 10:00:00.000 GMT-0500,328.752,329.363,328.292,328.982,22.0223
04.02.2020 11:00:00.000 GMT-0500,328.973,329.863,328.872,329.602,15.3058
04.02.2020 12:00:00.000 GMT-0500,329.613,329.883,329.492,329.752,12.5018
04.02.2020 13:00:00.000 GMT-0500,329.752,329.823,329.112,329.653,9.2083
04.02.2020 14:00:00.000 GMT-0500,329.652,330.013,329.513,329.722,10.9112
04.02.2020 15:00:00.000 GMT-0500,329.722,329.873,328.892,329.092,15.1738
05.02.2020 09:00:00.000 GMT-0500,332.292,332.433,331.262,332.003,14.579
05.02.2020 10:00:00.000 GMT-0500,332.013,332.352,330.682,331.573,28.7169
05.02.2020 11:00:00.000 GMT-0500,331.582,332.013,331.142,331.992,19.8047
05.02.2020 12:00:00.000 GMT-0500,331.992,332.263,331.882,331.923,12.6034
05.02.2020 13:00:00.000 GMT-0500,331.932,332.283,331.632,332.113,12.3225
05.02.2020 14:00:00.000 GMT-0500,332.112,332.743,331.772,332.682,12.0018
05.02.2020 15:00:00.000 GMT-0500,332.683,333.093,332.212,332.832,16.2665
06.02.2020 09:00:00.000 GMT-0500,333.942,334.073,332.812,333.742,15.0362
06.02.2020 10:00:00.000 GMT-0500,333.742,333.953,332.942,333.502,25.0661
06.02.2020 11:00:00.000 GMT-0500,333.513,334.073,333.342,333.472,21.1485
06.02.2020 12:00:00.000 GMT-0500,333.483,334.133,333.432,334.073,13.8881
06.02.2020 13:00:00.000 GMT-0500,334.073,334.203,333.522,333.883,11.4959
06.02.2020 14:00:00.000 GMT-0500,333.882,334.122,333.722,333.783,11.5062
06.02.2020 15:00:00.000 GMT-0500,333.782,334.102,333.492,333.942,13.8226
07.02.2020 09:00:00.000 GMT-0500,332.843,333.003,331.973,332.302,14.9232
07.02.2020 10:00:00.000 GMT-0500,332.302,333.193,331.942,332.842,21.177
07.02.2020 11:00:00.000 GMT-0500,332.832,333.643,332.612,333.192,15.251
07.02.2020 12:00:00.000 GMT-0500,333.193,333.502,333.042,333.212,11.62
07.02.2020 13:00:00.000 GMT-0500,333.213,333.213,332.282,332.293,10.9629
07.02.2020 14:00:00.000 GMT-0500,332.292,332.423,331.622,332.352,16.5229
07.02.2020 15:00:00.000 GMT-0500,332.362,332.643,331.842,332.192,15.5641
10.02.2020 09:00:00.000 GMT-0500,331.242,332.803,331.232,332.792,12.3143
10.02.2020 10:00:00.000 GMT-0500,332.782,333.713,332.753,333.332,20.5204
10.02.2020 11:00:00.000 GMT-0500,333.333,333.713,333.142,333.393,14.8013
10.02.2020 12:00:00.000 GMT-0500,333.382,333.393,332.892,333.062,12.298
10.02.2020 13:00:00.000 GMT-0500,333.063,333.373,333.012,333.212,10.2255
10.02.2020 14:00:00.000 GMT-0500,333.213,333.823,333.022,333.802,10.1943
10.02.2020 15:00:00.000 GMT-0500,333.803,334.693,333.782,334.693,13.7381
11.02.2020 09:00:00.000 GMT-0500,336.192,336.303,335.513,336.022,11.0514
11.02.2020 10:00:00.000 GMT-0500,336.023,337.033,336.023,336.562,16.2116
11.02.2020 11:00:00.000 GMT-0500,336.553,336.722,335.632,335.863,18.2623
11.02.2020 12:00:00.000 GMT-0500,335.862,336.303,335.772,336.302,13.9543
11.02.2020 13:00:00.000 GMT-0500,336.303,336.493,335.632,335.882,11.764
11.02.2020 14:00:00.000 GMT-0500,335.883,335.942,335.302,335.513,16.5653
11.02.2020 15:00:00.000 GMT-0500,335.513,335.693,334.752,335.302,19.192
12.02.2020 09:00:00.000 GMT-0500,336.833,337.283,336.622,337.002,13.3829
12.02.2020 10:00:00.000 GMT-0500,337.002,337.212,336.442,336.582,23.4125
12.02.2020 11:00:00.000 GMT-0500,336.592,337.202,336.592,337.012,15.3202
12.02.2020 12:00:00.000 GMT-0500,337.013,337.233,336.812,337.012,11.8673
12.02.2020 13:00:00.000 GMT-0500,337.012,337.053,336.542,336.993,10.0959
12.02.2020 14:00:00.000 GMT-0500,336.992,337.333,336.942,337.202,10.3586
12.02.2020 15:00:00.000 GMT-0500,337.203,337.653,336.932,337.422,13.2876
13.02.2020 09:00:00.000 GMT-0500,335.882,336.853,335.582,336.132,13.8112
13.02.2020 10:00:00.000 GMT-0500,336.142,337.133,335.612,337.083,23.2147
13.02.2020 11:00:00.000 GMT-0500,337.092,337.633,336.912,337.312,16.7631
13.02.2020 12:00:00.000 GMT-0500,337.303,337.733,337.202,337.212,13.7619
